Symbol,Name,Category
MAHABANK,Bank of Maharashtra,Mid
MANKIND,Mankind Pharma Limited,Mid
MARICO,Marico Limited,Mid
MCX,Multi Commodity Exchange of India Limited,Mid
MEDANTA,Global Health Limited,Mid
MFSL,Max Financial Services Limited,Mid
MOTILALOFS,Motilal Oswal Financial Services Limited,Mid
MPHASIS,MphasiS Limited,Mid
MRF,MRF Limited,Mid
NAM-INDIA,Nippon Life India Asset Management Limited,Mid
NATIONALUM,National Aluminium Company Limited,Mid
NAUKRI,Info Edge (India) Limited,Mid
NHPC,NHPC Limited,Mid
NIACL,The New India Assurance Company Limited,Mid
NLCINDIA,NLC India Limited,Mid
NMDC,NMDC Limited,Mid
NTPCGREEN,NTPC Green Energy Limited,Mid
NYKAA,FSN E-Commerce Ventures Limited,Mid
OBEROIRLTY,Oberoi Realty Limited,Mid
OFSS,Oracle Financial Services Software Limited,Mid
OIL,Oil India Limited,Mid
PAGEIND,Page Industries Limited,Mid
PATANJALI,Patanjali Foods Limited,Mid
PAYTM,One 97 Communications Limited,Mid
PERSISTENT,Persistent Systems Limited,Mid
PETRONET,Petronet LNG Limited,Mid
PHOENIXLTD,The Phoenix Mills Limited,Mid
PIIND,PI Industries Limited,Mid
POLICYBZR,PB Fintech Limited,Mid
POLYCAB,Polycab India Limited,Mid
POWERINDIA,Hitachi Energy India Limited,Mid
PREMIERENE,Premier Energies Limited,Mid
PRESTIGE,Prestige Estates Projects Limited,Mid
RADICO,Radico Khaitan Limited,Mid
RVNL,Rail Vikas Nigam Limited,Mid
SAIL,Steel Authority of India Limited,Mid
SBICARD,SBI Cards and Payment Services Limited,Mid
SCHAEFFLER,Schaeffler India Limited,Mid
SJVN,SJVN Limited,Mid
SRF,SRF Limited,Mid
SUNDARMFIN,Sundaram Finance Limited,Mid
SUPREMEIND,Supreme Industries Limited,Mid
SUZLON,Suzlon Energy Limited,Mid
SWIGGY,Swiggy Limited,Mid
TATACOMM,Tata Communications Limited,Mid
TATAELXSI,Tata Elxsi Limited,Mid
TATAINVEST,Tata Investment Corporation Limited,Mid
THERMAX,Thermax Limited,Mid
TIINDIA,Tube Investments of India Limited,Mid
TORNTPOWER,Torrent Power Limited,Mid
UBL,United Breweries Limited,Mid
UNOMINDA,UNO Minda Limited,Mid
UPL,UPL Limited,Mid
VMM,Vishal Mega Mart Limited,Mid
VOLTAS,Voltas Limited,Mid
WAAREEENER,Waaree Energies Limited,Mid
YESBANK,Yes Bank Limited,Mid
20MICRONS,20 Microns Limited,Other
21STCENMGM,21st Century Management Services Limited,Other
3BBLACKBIO,3B Blackbio Dx Limited,Other
3IINFOLTD,3i Infotech Limited,Other
3PLAND,3P Land Holdings Limited,Other
5PAISA,5Paisa Capital Limited,Other
63MOONS,63 moons technologies limited,Other
A2ZINFRA,A2Z Infra Engineering Limited,Other
AAATECH,AAA Technologies Limited,Other
AAKASH,Aakash Exploration Services Limited,Other
AARNAV,Aarnav Fashions Limited,Other
